County,License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,Square Footage,Location,Counties,New York Zip Codes
New York,719758,Store,JAC   ,GOLDEN OWLS BROTHERS INC         ,                       ,1769,2ND AVE                     ,             ,               ,NEW YORK          ,NY,10128,400,"{'latitude': '40.781941', 'longitude': '-73.94878', 'human_address': '{""address"": ""1769 2ND AVE"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10128""}'}",2095,583
New York,743583,Store,JAC   ,IT'SUGAR LLC                     ,                       ,665,BROADWAY               ,             ,               ,NEW YORK          ,NY,10012,0,"{'latitude': '40.727125', 'longitude': '-73.995361', 'human_address': '{""address"": ""665 BROADWAY"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10012""}'}",2095,736
New York,731324,Store,JAC   ,100 PRESTIGE DELI CORP           ,100 PRESTIGE DELI      ,100,THAYER STREET                ,             ,               ,NEW YORK          ,NY,10040,1800,"{'latitude': '40.864627', 'longitude': '-73.927815', 'human_address': '{""address"": ""100 THAYER STREET"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10040""}'}",2095,799
New York,735096,Store,JAC   ,101 FINEST DELI INC              ,101 FINEST DELI        ,101,W 136TH ST                   ,             ,               ,NEW YORK          ,NY,10030,0,"{'latitude': '40.814809', 'longitude': '-73.940429', 'human_address': '{""address"": ""101 W 136TH ST"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10030""}'}",2095,757
New York,628886,Store,JAC   ,101 LENOX DELI GRILL CORP        ,101 LENOX DELI GRILL   ,101,LENOX AVE                    ,             ,               ,NEW YORK          ,NY,10026,1500,"{'latitude': '40.801467', 'longitude': '-73.950175', 'human_address': '{""address"": ""101 LENOX AVE"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10026""}'}",2095,753
New York,626297,Store,A     ,101 NEWSTAND INC                 ,101 NEWSTAND           ,47,NASSAU ST                     ,             ,               ,NEW YORK          ,NY,10005,600,"{'latitude': '40.709002', 'longitude': '-74.009009', 'human_address': '{""address"": ""47 NASSAU ST"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10005""}'}",2095,721
New York,724956,Store,A     ,101 SMOKE SHOP CORP              ,101 SMOKE SHOP         ,2660,BROADWAY                    ,             ,               ,NEW YORK          ,NY,10025,850,"{'latitude': '40.798014', 'longitude': '-73.969202', 'human_address': '{""address"": ""2660 BROADWAY"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10025""}'}",2095,752
New York,736431,Store,JAC   ,103 FAMILY DELI INC              ,103 FAMILY DELI        ,2006,2ND AVENUE                  ,             ,               ,NEW YORK          ,NY,10029,0,"{'latitude': '40.788982', 'longitude': '-73.943635', 'human_address': '{""address"": ""2006 2ND AVENUE"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10029""}'}",2095,756
New York,624890,Store,JAC   ,103 MANHATTAN AVE GROCERY CORP   ,103 MANHATTAN AVE GROC ,62,MANHATTAN AVE                 ,             ,               ,NEW YORK          ,NY,10025,1800,"{'latitude': '40.796611', 'longitude': '-73.962961', 'human_address': '{""address"": ""62 MANHATTAN AVE"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10025""}'}",2095,752
New York,626659,Store,JAC   ,104 BROADWAY FARMS INC           ,104 BROADWAY FARMS     ,2717,BROADWAY                    ,             ,               ,NEW YORK          ,NY,10025,1500,"{'latitude': '40.799742', 'longitude': '-73.968329', 'human_address': '{""address"": ""2717 BROADWAY"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10025""}'}",2095,752
New York,717422,Store,JAC   ,105 DELI & GRILL INC             ,105 DELI & GRILL       ,922,AMSTERDAM AVE                ,             ,               ,NEW YORK          ,NY,10025,1000,"{'latitude': '40.79993', 'longitude': '-73.966093', 'human_address': '{""address"": ""922 AMSTERDAM AVE"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10025""}'}",2095,752
New York,721052,Store,JAC   ,106 CANDY & CONVENIENCE CORP     ,106 CANDY & CONVENIENCE,232,E 106TH STREET               ,             ,               ,NEW YORK          ,NY,10029,1500,"{'latitude': '40.791007', 'longitude': '-73.94335', 'human_address': '{""address"": ""232 E 106TH STREET"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10029""}'}",2095,756
New York,714351,Store,JAC   ,106 FAMILY DELI & GROCERY INC    ,106 FAMILY DELI & GROCE,318,E 106TH ST               ,             ,               ,NEW YORK          ,NY,10029,0,"{'latitude': '40.79017', 'longitude': '-73.941363', 'human_address': '{""address"": ""318 E 106TH ST"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10029""}'}",2095,756
New York,722751,Store,JAC   ,106 FRANKLIN DELI & GROCERY INC  ,106 FRANKLIN DELI & GRO,346,E 106TH STREET               ,             ,               ,NEW YORK          ,NY,10029,0,"{'latitude': '40.789853', 'longitude': '-73.940605', 'human_address': '{""address"": ""346 E 106TH STREET"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10029""}'}",2095,756
New York,735531,Store,JAC   ,108 DELI INC                     ,108 DELI               ,108,EAST 126TH STREET            ,             ,               ,NEW YORK          ,NY,10035,0,"{'latitude': '40.80539', 'longitude': '-73.937734', 'human_address': '{""address"": ""108 EAST 126TH STREET"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10035""}'}",2095,794
New York,715091,Store,JAC   ,109 SPICY GOURMET DELI INC       ,109 SPICY GOURMET DELI ,990,AMSTERDAM AVE                ,             ,               ,NEW YORK          ,NY,10025,1200,"{'latitude': '40.802237', 'longitude': '-73.964391', 'human_address': '{""address"": ""990 AMSTERDAM AVE"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10025""}'}",2095,752
New York,628102,Store,JAC   ,10TH AVE PETROLEUM LLC           ,10TH AVE PETROLEUM     ,466,10TH AVE                     ,             ,               ,NEW YORK          ,NY,10018,1000,"{'latitude': '40.756058', 'longitude': '-73.998091', 'human_address': '{""address"": ""466 10TH AVE"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10018""}'}",2095,741
New York,710535,Store,JAC   ,10TH STREET FOOD CORP            ,10TH STREET FOOD       ,392,EAST 10TH ST                 ,             ,               ,NEW YORK          ,NY,10009,1200,"{'latitude': '40.725992', 'longitude': '-73.977803', 'human_address': '{""address"": ""392 EAST 10TH ST"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10009""}'}",2095,724
New York,732336,Store,JAC   ,1128 DELI & GRILL INC            ,1128 DELI & GRILL      ,2070,FREDERICK DOUGLASS BOULEVARD,             ,               ,NEW YORK          ,NY,10026,800,"{'latitude': '40.801996', 'longitude': '-73.957141', 'human_address': '{""address"": ""2070 FREDERICK DOUGLASS BOULEVARD"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10026""}'}",2095,753
New York,629482,Store,A     ,116 DISCOUNT INC                 ,116 DISCOUNT           ,64-68,E 116TH ST                 ,             ,               ,NEW YORK          ,NY,10029,2200,"{'latitude': '40.799729', 'longitude': '-73.944226', 'human_address': '{""address"": ""64 68 E 116TH ST"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10029""}'}",2095,756
New York,730287,Store,JAC   ,116 STREET MARINI DELI GROCERY CO,116 STREET MARINI DELI ,1869A,LEXINGTON AVE              ,             ,               ,NEW YORK          ,NY,10029,0,"{'latitude': '40.798405', 'longitude': '-73.941784', 'human_address': '{""address"": ""1869A LEXINGTON AVE"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10029""}'}",2095,756
New York,711432,Store,JAC   ,119 A R GROCERY CORP             ,119 A R GROCERY        ,119,ELLWOOD ST                   ,             ,               ,NEW YORK          ,NY,10040,1400,"{'latitude': '40.861392', 'longitude': '-73.92916', 'human_address': '{""address"": ""119 ELLWOOD ST"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10040""}'}",2095,799
New York,702202,Store,JAC   ,121 CONVENIENCE DELI CORP        ,121 CONVENIENCE DELI   ,121,WEST 116TH ST            ,             ,               ,NEW YORK          ,NY,10026,800,"{'latitude': '40.802476', 'longitude': '-73.950752', 'human_address': '{""address"": ""121 WEST 116TH ST"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10026""}'}",2095,753
New York,629188,Store,JAC   ,LENOX GOURMET DELI&GRCY CORP     ,121 LENOX GOURMET DELI ,217,MALCOLM X BLVD               ,             ,               ,NEW YORK          ,NY,10027,1000,"{'latitude': '40.805089', 'longitude': '-73.947539', 'human_address': '{""address"": ""217 MALCOLM X BLVD"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10027""}'}",2095,754
New York,721017,Store,A     ,121 NEW YORK DELI GROCERY CORP   ,121 NEW YORK DELI GROCE,1993,LEXINGTON AVE               ,             ,               ,NEW YORK          ,NY,10035,500,"{'latitude': '40.802102', 'longitude': '-73.939073', 'human_address': '{""address"": ""1993 LEXINGTON AVE"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10035""}'}",2095,794
New York,736919,Store,JAC   ,122 MEAT MARKET INC              ,122 MEAT MARKET        ,79,ELIZABETH ST                  ,             ,               ,NEW YORK          ,NY,10013,0,"{'latitude': '40.717976', 'longitude': '-73.99611', 'human_address': '{""address"": ""79 ELIZABETH ST"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10013""}'}",2095,737
New York,628095,Store,JAC   ,FERNANDEZ JORGE                  ,122 SUFFOLK STOP 1 DELI,122,SUFFOLK ST                   ,             ,               ,NEW YORK          ,NY,10002,1000,"{'latitude': '40.719204', 'longitude': '-73.985959', 'human_address': '{""address"": ""122 SUFFOLK ST"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10002""}'}",2095,718
New York,629082,Store,JAC   ,124 DELI GROCERY INC             ,124 DELI GROCERY       ,124,E BROADWAY                   ,             ,               ,NEW YORK          ,NY,10002,1500,"{'latitude': '40.713896', 'longitude': '-73.992096', 'human_address': '{""address"": ""124 E BROADWAY"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10002""}'}",2095,718
New York,738746,Store,JAC   ,125TH FOOD INC                   ,125TH FOOD             ,2425,2ND AVE                     ,             ,               ,NEW YORK          ,NY,10035,1000,"{'latitude': '40.802376', 'longitude': '-73.933851', 'human_address': '{""address"": ""2425 2ND AVE"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10035""}'}",2095,794
New York,725385,Store,A     ,125 FOOD MART INC                ,125TH ST FOOD MART     ,521,WEST 125TH STREET            ,             ,               ,NEW YORK          ,NY,10027,1800,"{'latitude': '40.814136', 'longitude': '-73.956997', 'human_address': '{""address"": ""521 WEST 125TH STREET"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10027""}'}",2095,754
New York,717617,Store,A     ,126 CANDY GROCERY CORP           ,126 CANDY GROCERY      ,2359,FREDERICK DOUGLASS BLVD     ,             ,               ,NEW YORK          ,NY,10027,800,"{'latitude': '40.811201', 'longitude': '-73.950419', 'human_address': '{""address"": ""2359 FREDERICK DOUGLASS BLVD"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10027""}'}",2095,754
